,nombre,precio,rating,fecha_entrega
0,YOKNETIG,269.,4.2 de un máximo de 5 estrellas.,"mié, 1 de may "
1,Viraduckt,245.,4.2 de un máximo de 5 estrellas.,"mañana, 30 de abr "
2,Viraduckt,240.,4.2 de un máximo de 5 estrellas.,"mié, 1 de may "
3,Atoshopce,199.,3.8 de 5 estrellas,"mañana, 30 de abr "
4,PUBOOM,699.,4.4 de 5 estrellas,"mié, 1 de may "
5,Atoshopce,269.,4.5 de 5 estrellas,"mañana, 30 de abr "
6,YOKNETIG,269.,4.7 de 5 estrellas,"mié, 1 de may "
7,FUDYNMALC,208.,2.6 de 5 estrellas,"mañana, 30 de abr "
8,TAGNEFLOR,299.,4.4 de 5 estrellas,"dom, 5 de may "
9,Generic,99.,4.1 de 5 estrellas,"mié, 1 de may "
10,Aomigoct,229.,3.9 de 5 estrellas,"mañana, 30 de abr "
11,Atoshopce,239.,5.0 de 5 estrellas,"mié, 1 de may "
12,Viraduckt,251.,5.0 de 5 estrellas,"mañana, 30 de abr "
13,Atoshopce,239.,4.3 de 5 estrellas,"mié, 1 de may "
14,Aomigoct,209.,4.4 de 5 estrellas,"mañana, 30 de abr "
15,Atoshopce,229.,4.4 de 5 estrellas,"mié, 1 de may "
16,Viraduckt,239.,4.5 de 5 estrellas,"mañana, 30 de abr "
17,DAHAN,228.,4.2 de 5 estrellas,17 - 24 de may 
18,TAGNEFLOR,299.,4.4 de 5 estrellas,"mié, 1 de may "
19,Aomigoct,168.,3.9 de 5 estrellas,"mañana, 30 de abr "
20,Atoshopce,229.,4.1 de 5 estrellas,"mié, 1 de may "
21,SKIUHS,399.,5.0 de 5 estrellas,"mañana, 30 de abr "
22,SKIUHS,199.,4.1 de 5 estrellas,"mié, 1 de may "
23,VGEBY,398.,4.3 de 5 estrellas,"mañana, 30 de abr "
24,FRSHANIAH,"1,131.",4.1 de 5 estrellas,"mié, 1 de may "
25,BIMENDOS,249.,4.3 de 5 estrellas,"mañana, 30 de abr "
26,YOKNETIG,279.,4.2 de 5 estrellas,"mié, 1 de may "
27,Atoshopce,229.,5.0 de 5 estrellas,"mañana, 30 de abr "
28,Atoshopce,219.,4.5 de 5 estrellas,"mié, 1 de may "
29,Aomigoct,219.,4.0 de 5 estrellas,"mañana, 30 de abr "
30,Maxten,114.,4.5 de 5 estrellas,"mié, 1 de may "
31,SYKT,398.,4.5 de 5 estrellas,"mañana, 30 de abr "
32,Skechers,"1,022.",4.7 de 5 estrellas,"mié, 1 de may "
33,Viraduckt,259.,4.3 de 5 estrellas,"mañana, 30 de abr "
34,IGOLUMON,299.,4.0 de 5 estrellas,"mié, 1 de may "
35,Aomigoct,229.,5.0 de 5 estrellas,"mañana, 30 de abr "
36,FUDYNMALC,229.,3.8 de 5 estrellas,"mié, 1 de may "
37,EIGYO,359.,4.7 de 5 estrellas,"mañana, 30 de abr "
